Reportnumber,CircumstancesCode,DriverID,NonMotoristID,PassengerID,Vehicleid,CrashPoint,Latitude (generated),Longitude (generated)
ADG438002K,*,51ff9ea4-d509-4c9f-a680-bf2c99809482,bfc79b3c-e695-429b-8cf6-0b4ff0caf3dd,*,d55cc98e-e20a-453c-9bc3-e6da252c272b,Point,39.348152766,-76.690928265
ADG438001Y,N/A,*,,2807546b-3474-4e82-b1b5-79159d416c6a,*,Point,39.324140792,-76.671448957
ADG421001W,*,*,,*,*,Point,39.296019022,-76.576012633
ADG421001T,*,*,,*,*,Point,39.284436028,-76.598092980
ADG421001J,*,0d541c7c-e4ee-40a7-90d1-c66ed7331817,,7bee3727-5903-4d4a-a65d-a02c75e77a09,c46015ed-a103-4748-888d-2219cc348bf8,Point,39.277706175,-76.542323631
ADG421001H,N/A,*,,8eb133bc-ef6f-46fc-a328-4edbfcee2ed4,*,Point,39.296068757,-76.569657562
ADG421001G,*,*,a2d92002-3701-4c60-9b6d-a9671f05dc87,*,*,Point,39.277352056,-76.556148304
ADG421000Z,*,*,0b99224b-bb7e-45bd-829b-bed56689b83b,,*,Point,39.283110671,-76.536641509
ADG421000X,*,*,,0ecb8e5a-5773-41b4-8cc2-09ec9d081a80,*,Point,39.287281843,-76.548612328
ADG421000V,*,*,,,*,Point,39.301060195,-76.537443123
ADG421000S,*,5a9f3835-f4f0-47d0-bc9a-771948af9b89,025fec55-affe-4a86-a20c-301c00a4c363,,cd71ea5e-9ed2-498f-9836-6110feb0a3f5,Point,39.287913407,-76.538834306
ADG421000L,N/A,*,,*,*,Point,39.292873333,-76.587743248
ADG421000K,N/A,*,,,*,Point,39.287743295,-76.537011963
ADG421000J,N/A,*,,04940a6e-be76-49f0-b183-9a8e6ae692bf,*,Point,39.277602012,-76.533268232
ADG421000D,N/A,0f3f76c5-846f-4e26-8c98-a55684c5ffc8,6fb0b15d-1360-42fe-9da2-a02ab23e89e1,,c1b97b2a-7cd0-4b29-bd38-abc111d90378,Point,39.288233760,-76.538583070
ADG410000D,*,*,,,*,Point,39.365153116,-76.609917824
ADG410000B,N/A,*,,,*,Point,39.361041736,-76.647321117
ADG394002N,N/A,*,,,*,Point,39.293677751,-76.567685769
ADG394002M,N/A,*,,d3516516-daa8-4fbe-8dae-306c7e3d7cfc,*,Point,39.291271872,-76.569580704
ADG394002J,*,*,,*,*,Point,39.287595431,-76.540900510
ADG368003Z,N/A,5ef82cee-8c73-4740-87b8-763736a7077a,,,*,Point,39.335306645,-76.684444284
ADG368003Y,N/A,*,,*,*,Point,39.337405031,-76.694242420
ADG368003T,N/A,*,,*,*,Point,39.330921111,-76.694261863
ADG368003S,N/A,3e094088-ead1-437b-b682-f2d34ca20d49,,d0f8affe-be29-41e3-ba3d-6028ca2ccd7b,*,Point,39.332541954,-76.682687462
ADG368003Q,*,2552d08b-0214-46ed-b704-a4cd8326ea73,,1fd11ea6-eb77-46e0-b0fd-c82e6a7b1a25,b964cdbf-7412-4081-a63e-67a1049bf691,Point,39.314048269,-76.676415100
ADG368003P,*,ef8da74b-e1ea-4e3b-a927-abb44be23012,,,44fc3e46-8297-4da3-8349-24fcd4e48373,Point,39.314088739,-76.679479543
ADG368003H,*,*,,*,*,Point,39.329859424,-76.703737816
ADG368003F,*,*,,,*,Point,39.332621250,-76.693364252
ADG368003D,N/A,*,,,*,Point,39.340751489,-76.691669355
ADG368003C,N/A,*,,,*,Point,39.323203077,-76.691232832
ADG368003B,N/A,ba7aa38c-aee6-4ce2-b9c7-8987446c6fee,,,*,Point,39.324813497,-76.681937107
ADG368002Z,*,f449bb7f-3e9b-48de-b1a7-b8fc790d3ada,,,a3a753ec-9ce2-4e84-947b-45842ef06995,Point,39.344730974,-76.701466272
ADG368002X,*,*,,,*,Point,39.324704397,-76.686255657
ADG368002W,N/A,*,,,*,Point,39.323918020,-76.694476589
ADG368002V,*,*,,,*,Point,39.343391903,-76.705734964
ADG368002S,N/A,dcd3c5b0-fb26-4ae2-9882-c04a72976243,,*,*,Point,39.334824287,-76.684057801
ADG368002Q,N/A,*,,*,*,Point,39.336630173,-76.687035024
ADG368002N,N/A,*,,,*,Point,39.335923215,-76.709836105
ADG368002J,N/A,3392640a-1072-43eb-815b-1310a229afb4,,*,5dcd70cb-0e1f-47c6-8bc0-6259c77ab4c7,Point,39.340909166,-76.696996322
ADG368002G,*,0097e18f-bae7-4bc8-9ad5-af0bf42e9150,,,*,Point,39.339714364,-76.692413372
ADG368002F,*,*,,83b4069a-5dd7-4144-9701-7d798c886498,*,Point,39.339729663,-76.689368738
ADG368002D,*,*,,,*,Point,39.332635817,-76.699606749
ADG368002B,*,*,,*,*,Point,39.327401189,-76.682514425
ADG368001Y,*,*,,,*,Point,39.370148150,-76.687566447
ADG368001X,N/A,ceded25c-3a0c-46ba-add8-0f0eb4d9e67d,c7d4d928-0ccb-4466-a972-5d12eb056aad,1d97987d-2f7d-4c17-aeb8-3f3efa5038ad,26647f3e-ed29-4b3b-a083-a19e5808a0ef,Point,39.350748138,-76.694643653
ADG368001R,*,3cceb30a-c091-42b3-b4db-e0ec8f57c1d7,,1f248cfd-663c-4427-bfbb-564020c6a69b,*,Point,39.351377447,-76.682797355
ADG367004Q,*,*,,ccdd07ab-cbe6-483e-b8dd-9f4c45e0489f,*,Point,39.342028939,-76.654561426
ADG367004L,*,*,,,*,Point,39.331872175,-76.642042849
